Item / File	Filament	Model Filament		Support Filament		Purged		Tower		Print Time		Total Filament
		Metres	Grams	Metres	Grams	Metres	Grams	Metres	Grams	Hrs	Min	Metres	Grams
Riser+V6+P2S.3mf	Generic PLA Grey	116.22	346.63	0.00	0.00	0.00	0.00	0.00	0.00	9	0	116.22	346.63
Cap_V0.1_Branded.stl	Generic PLA Black	10.00	30.00	0.00	0.00	0.00	0.00	0.00	0.00	0	20	10.00	30.00
	Generic PLA White	3.00	9.00	0.00	0.00	0.00	0.00	0.00	0.00	0	10	3.00	9.00
Octopus Bottle Dryer.3mf	Generic PLA Red	23.56	70.27	0.00	0.00	0.00	0.00	0.00	0.00	5	16	23.56	70.27
Phone Holder.3mf	Generic PLA Black	0.35	1.05	0.00	0.00	0.00	0.00	0.00	0.00	0	11	0.35	1.05
Printer assessories	Generic PLA Grey	8.54	24.48	0.16	0.48	0.00	0.00	0.00	0.00	1	18	8.70	24.96
cablemanagement+even+looser+fit.3mf	Generic PLA Grey	32.96	98.30	0.00	0.00	0.00	0.00	0.00	0.00	2	44	32.96	98.30
P2S+PLIER+HANGER-2COLOR-PETG-3DVEIT.3mf	Generic PLA Grey	2.55	7.61	0.00	0.00	0.00	0.00	0.00	0.00	0	35	2.55	7.61
Water+Dragon.3mf	Generic PLA Red	29.97	89.40	0.00	0.00	0.00	0.00	0.00	0.00	5	4	29.97	89.40
Various Spool Holder Clips	Generic PLA Black	31.88	95.07	0.00	0.00	0.00	0.00	0.00	0.00	4	0	31.88	95.07
Coffee templates 1/4	Generic PLA Black	14.04	41.86	0.00	0.00	0.00	0.00	0.00	0.00	1	29	14.04	41.86
Coffee templates 2/4	Generic PLA Black	17.15	51.15	0.00	0.00	0.00	0.00	0.00	0.00	1	29	17.15	51.15
Coffee templates 3/4	Generic PLA Black	12.04	36.90	0.00	0.00	0.00	0.00	0.00	0.00	1	10	12.04	36.90
Coffee templates 4/4	Generic PLA Black	10.19	30.39	0.00	0.00	0.00	0.00	0.00	0.00	0	58	10.19	30.39
Phone Stands	Creality Soleyin Ultra PLA Macaron Purple	37.45	111.68	0.00	0.00	0.00	0.00	0.00	0.00	3	17	37.45	111.68
Dry Pods 1/2	Generic PLA Grey	24.11	71.91	0.36	1.08	0.00	0.00	0.00	0.00	5	24	24.47	72.99
Dry Pods 2/2	Generic PLA Grey	8.81	26.68	0.00	0.00	0.00	0.00	0.00	0.00	2	7	8.81	26.68
Apple Watch Stand	Generic PLA White	11.21	33.45	1.96	5.84	0.00	0.00	0.00	0.00	3	53	13.17	39.29
Dust Covers & Treaded Rod Covers 1/2	Generic PLA Grey	2.02	6.03	0.00	0.00	0.28	0.84	0.08	0.24	0	41	2.38	7.11
Dust Covers & Treaded Rod Covers 2/2	Creality Soleyin Ultra PLA Macaron Purple	0.12	0.37	0.00	0.00	0.54	1.61	0.22	0.66	0	1	0.88	2.64
RingBook Holder	SA Filament: Silk PLA - Pink	4.92	14.67	0.33	0.98	0.00	0.00	0.00	0.00	0	49	5.25	15.65
Can Strainer	Creality Soleyin Ultra PLA Macaron Purple	10.74	32.30	0.75	2.23	0.00	0.00	0.00	0.00	1	39	11.49	34.53
Compact Silica Box	Generic PLA Black	6.79	20.26							2	9	6.79	20.26
MosquitoCoilHolder	Generic PLA Black	1.00	1.00							1	30	1.00	1.00
Ball Fidget	SA Filament: Silk PLA - Pink	5.00	15.00	0.00	0.00	0.00				0	10	5.00	15.00
Uno Card Box	Generic PLA White	23.14	69.03			0.37	1.10			2	11	23.51	70.13
	SA Filament: Silk PLA - Yellow Gold	0.10	0.29			0.28	0.33				0	0.38	0.62
	Generic PLA Red	0.11	0.31			0.14	0.41				0	0.25	0.72
	Generic PLA Black	0.66	1.95			0.18	0.55				0	0.84	2.50
	Generic PLA Red	8.52	25.40							1	0	8.52	25.40
Shadowcoil Dragon	Generic PLA Black	0.12	0.37			1.54	4.85	0.31	1.97	9	51	1.97	7.19
	Creality Soleyin Ultra PLA Ocean Blue	32.33	96.44			6.06	18.09	1.81	5.41		1	40.20	119.94
	Generic PLA White	2.95	8.79			11.29	33.66	1.30	3.87		1	15.54	46.32
Pill Box 50x50x24	Creality Soleyin Ultra PLA Ocean Blue	4.54	13.55								33	4.54	13.55
Pill Box 50x25x24	Generic PLA White	1.26	3.76								26	1.26	3.76
Pill Box 25x25x24	Generic PLA Grey	2.42	7.23								30	2.42	7.23
F1 Coaster Set plate 1/4 1/2	Generic PLA Black	17.96	57.01			0.10	0.33	0.13	0.40	1	24	18.19	57.74
F1 Coaster Set plate 1/4 1/2	Generic PLA Red	0.17	0.55			0.34	0.00	0.00	0.16		1	0.51	0.71
F1 Coaster Set plate 2/4 1/3	Generic PLA White	0.31	0.98			0.72	2.28	0.07	0.23	1	29	1.10	3.49
F1 Coaster Set plate 2/4 2/3	Generic PLA Black	11.81	37.49			0.26	0.82	0.38	1.19		1	12.45	39.50
F1 Coaster Set plate 2/4 3/3	Generic PLA Red	0.66	2.08			0.75	2.38	0.20	0.62		1	1.61	5.08
F1 Coaster Set plate 3/4 1/3	Generic PLA White	0.26	0.84			0.72	2.28	0.07	0.23	1	28	1.05	3.35
F1 Coaster Set plate 3/4 2/3	Generic PLA Black	11.85	37.62			0.26	0.82	0.38	1.19		1	12.49	39.63
F1 Coaster Set plate 3/4 3/3	Generic PLA Red	0.66	2.08			0.75	2.38	0.20	0.62		1	1.61	5.08
F1 Coaster Set plate 4/4 1/3	Generic PLA White	0.27	0.85			0.72	2.28	0.07	0.23	1	29	1.06	3.36
F1 Coaster Set plate 4/4 2/3	Generic PLA Black	11.85	37.64			0.26	0.82	0.38	1.19		1	12.49	39.65
F1 Coaster Set plate 4/4 3/3	Generic PLA Red	0.66	2.08			0.75	2.38	0.20	0.62		1	1.61	5.08
Cat Phone Stand x2	Generic PLA White	30.23	90.16							3	13	30.23	90.16
Start Dancer	SA Filament: Silk PLA - Chrome Pink	18.49	55.15							2	35	18.49	55.15
Dino Bookmark 1/4	SA Filament:  PLA - Powder Blue	2.89	8.63			0.88	2.62	0.34	1.02	1	29	4.11	12.27
Dino Bookmark 2/4	SA Filament: Silk PLA - Orange	0.06	0.17			0.51	1.54	0.08	0.24		0	0.65	1.95
Dino Bookmark 3/4	Generic PLA White	0.62	1.85			1.19	3.55	0.20	0.61		0	2.01	6.01
Dino Bookmark 4/4	Generic PLA Black	0.01	0.02			0.28	0.84	0.01	0.18		0	0.30	1.04
Flower Bookmark	Generic PLA Black	3.38	10.26							1	6	3.38	10.26
Flower Bookmark	SA Filament: Silk PLA - Greenary	10.14	30.78							3	18	10.14	30.78
Moon Fairy	SA Filament: Silk PLA - Yellow Gold	3.94	11.74							0	37	3.94	11.74
Poker Playing Card Box Bottom	Generic PLA Black	22.79	69.07							1	33	22.79	69.07
Poker Playing Card Box Lid	Generic PLA Black	14.64	44.37			0.20	0.61	0.22	0.66	1	40	15.06	45.64
	Generic PLA White	3.63	11.01			0.80	2.42	0.08	0.23		1	4.51	13.66
	Generic PLA Red	0.12	0.39			0.57	1.74	0.08	0.23		1	0.77	2.36
Poker Playing Card Box Inserts	Generic PLA Red	13.85	41.97							1	18	13.85	41.97
Pill Box Test	SA Filament: Silk PLA - Greenary	6.96	20.74								52	6.96	20.74
Pill Box Sat	SA Filament: Silk PLA - Greenary	12.03	35.88							1	24	12.03	35.88
Pill Box Tue	Creality Soleyin Ultra PLA Botanic Green	11.93	35.58							1	23	11.93	35.58
Pill Box Thu	SA Filament: Dual PLA - Charred Gold	12.03	35.85							1	24	12.03	35.85
Pill Box Sat	SA Filament: Dual PLA - Indigo Majesty	12.03	35.85							1	24	12.03	35.85
Pill Box Mon	SA Filament: Dual PLA - Midnight Purple	12.03	35.85							1	24	12.03	35.85
Pill Box Fri	SA Filament: Dual PLA - Charred Gold	12.03	35.85							1	24	12.03	35.85
Pill Box Wed	Generic PLA Purple	11.92	35.56							1	22	11.92	35.56
PILL Box Lids	Generic PETG Clear	10.64	31.74							1	9	10.64	31.74
Skeleton	Dove White	2.37	7.06	0.15	0.45						42	2.52	7.51
Skeleton x 8	SA Filament: PLA - White	18.94	56.50	1.20	3.57					4	26	20.14	60.07
Skeleton x 8	SA Filament: PLA - White	18.94	56.50	1.20	3.57					4	26	20.14	60.07
Skeleton x 8	SA Filament: PLA - White	18.94	56.50	1.20	3.57					4	26	20.14	60.07
Skeleton x 8	SA Filament: PLA - White	18.94	56.50	1.20	3.57					4	26	20.14	60.07
Skeleton x 8	SA Filament: PLA - White	19.99	56.92	1.20	3.57					4	26	21.19	60.49
Lotus Ring Holder Bottom	SA Filament: Dual PLA - Indigo Majesty	10.76	32.09							1	29	10.76	32.09
Lotus Ring Holder Bottom	Generic PLA Black	10.20	30.42	1.18	3.51					1	31	11.38	33.93
Lotus Ring Holder Bottom	Generic PLA Black	10.21	30.45							1	25	10.21	30.45
Lotus Ring Holder Bottom	Generic PLA Black	10.21	30.45							1	51	10.21	30.45
Ringosaurus	SA Filament: Dual PLA - Indigo Majesty	7.97	23.76	0.13	0.39					1	47	8.10	24.15
MSkadis_240 Single Plate.3mf	Generic PLA Black	50.74	161.09							4	29	50.74	161.09
Skadis+PRO+Medium+3MF - Connected set.3mf	Generic PLA Black	42.56	126.94							3	52	42.56	126.94
mini+twisty+dragon+egg+fidget+12.3mf	Generic PLA Red	13.73	40.95							3	19	13.73	40.95
FILLIFUU+SLIME+SKULL+FIDGET+BAMBU.3mf	SA Filament: Dual PLA - Indigo Majesty	43.44	129.55							5	58	43.44	129.55
RingHolder for Couples.3mf	Generic PLA Black	2.43	7.25	0.05	0.14						24	2.48	7.39
P300 Cup Holder 14	Generic PLA Black	80.29	239.46							5	9	80.29	239.46
PS5+Controller+Stand.3mf	Generic PLA Black	24.60	73.37							1	58	24.60	73.37
PS5+Controller+Stand.3mf	Generic PLA Black	24.60	73.37							1	58	24.60	73.37
74mm Lens cap with build-in support v2.3mf	Generic PLA Black	7.92	23.63								56	7.92	23.63
73mm Lens cap with no build-in support v2.3mf	Generic PLA Black	6.20	18.49								0	6.20	18.49
Pill Box 7 days for 5 weeks - Half Size.3mf	Generic PLA Black	94.34	281.38							10	49	94.34	281.38
Tealight Dispenser Plate 1	SA Filament: Dual PLA - Smokey Wine	27.27	86.58								0	27.27	86.58
Tealight Dispenser Plate 2	SA Filament: Dual PLA - Smokey Wine	27.28	86.62							2	47	27.28	86.62
Tealight Dispenser Plate 3	SA Filament: Dual PLA - Charred Gold	47.37	150.41							2	47	47.37	150.41
Iphone_15_Case	SA Filament: Dual PLA - Charred Gold	3.94	11.76							5	38	3.94	11.76
